Gear Box,Length,Width,modelYear,Height,Kerb Weight,No of Cylinder,km,transmission,Registration Year,Wheel Base,Engine Displacement,model,Mileage,State,Color,Rear Brake Type,bt,oem,Tyre Type,price
8 Speed,4635.0,2097.0,2017,1484.0,1652.0,4.0,81716,Automatic,2017.0,2776.0,1969.0,Volvo S60,27.03,bangalore,Silver,Disc,Sedan,Volvo,Tubeless Radial,1895000.0
9 Speed,5063.0,1860.0,2018,1494.0,1835.0,6.0,24000,Automatic,2018.0,3079.0,2987.0,Mercedes-Benz E-Class,17.0,bangalore,White,Disc,Sedan,Mercedes-Benz,Tubeless Radial,5990000.0
6 Speed,3995.0,1821.0,2022,1627.0,1345.0,3.0,10000,Automatic,2022.0,2600.0,1197.0,Mahindra XUV300,17.0,bangalore,White,Disc,SUV,Mahindra,Tubeless Radial,1050000.0
6 Speed,4720.0,1835.0,2021,1760.0,1820.0,4.0,18000,Automatic,2021.0,2750.0,1451.0,MG Hector Plus,16.56,bangalore,Black,Disc,SUV,MG,Tubeless Radial,2075000.0
5 Speed,3610.0,1680.0,2013,1500.0,925.0,4.0,38197,Manual,2013.0,2345.0,1198.0,Honda Brio,19.4,bangalore,Others,Drum,Hatchback,Honda,Tubeless Radial,394000.0
5 Speed,3995.0,1745.0,2017,1510.0,1211.4827735332276,4.0,23000,Automatic,2017.0,2520.0,1197.0,Maruti Baleno,19.56,bangalore,Grey,Drum,Hatchback,Maruti,Tubeless Radial,725000.0
5 Speed,3620.0,1475.0,2013,1460.0,760.0,3.0,50000,Manual,2013.0,2360.0,998.0,Maruti Alto K10,20.92,bangalore,Red,Drum,Hatchback,Maruti,Tubeless Radial,240000.0
5 Speed,3991.0,1750.0,2022,1605.0,1086.0,3.0,10000,Automatic,2022.0,2500.0,999.0,Renault Kiger,19.03,bangalore,Others,Drum,SUV,Renault,Tubeless Radial,835000.0
5 Speed,3765.0,1660.0,2019,1520.0,1060.0,4.0,19000,Manual,2019.0,2425.0,1197.0,Hyundai Grand i10,18.9,bangalore,Blue,Drum,Hatchback,Hyundai,Tubeless,695000.0
7 Speed,4315.0,1800.0,2020,1645.0,1535.0,4.0,14000,Automatic,2020.0,2610.0,1353.0,Kia Seltos,16.5,bangalore,White,Disc,SUV,Kia,Tubeless Radial,1725000.0
5 Speed,3495.0,1550.0,2014,1500.0,910.0,3.0,29268,Manual,2014.0,2380.0,814.0,Hyundai EON,21.1,bangalore,White,Drum,Hatchback,Hyundai,Tubeless,330000.0
7 Speed,4390.0,1699.0,2019,1467.0,1211.4827735332276,4.0,20000,Automatic,2019.0,2553.0,1197.0,Volkswagen Vento,18.19,bangalore,Others,Drum,Sedan,Volkswagen,Tubeless Radial,990000.0
6 Speed,4425.0,1730.0,2018,1495.0,1095.0,4.0,30000,Manual,2018.0,2550.0,1496.0,Toyota Yaris,17.1,bangalore,Others,Drum,Sedan,Toyota,Tubeless Radial,750000.0
5 Speed,3955.0,1694.0,2018,1544.0,1066.0,4.0,64374,Automatic,2018.0,2530.0,1199.0,Honda Jazz,19.0,bangalore,Grey,Drum,Hatchback,Honda,Tubeless Radial,755000.0
6 Speed,4655.0,1835.0,2021,1760.0,1525.0,4.0,30000,Manual,2021.0,2750.0,1956.0,MG Hector,17.41,bangalore,Others,Disc,SUV,MG,Radial,1750000.0
6 Speed,4500.0,1790.0,2022,1675.0,1730.0,4.0,7100,Automatic,2022.0,2760.0,1999.0,Hyundai Alcazar,14.2,bangalore,White,Disc,SUV,Hyundai,Tubeless Radial,2083000.0
5 Speed,3585.0,1595.0,2010,1550.0,900.0,4.0,43679,Manual,2010.0,2380.0,1086.0,Hyundai i10,19.81,bangalore,Silver,Drum,Hatchback,Hyundai,Tubeless Radial,271000.0
6 Speed,4270.0,1780.0,2018,1665.0,1300.0,4.0,40000,Automatic,2018.0,2590.0,1591.0,Hyundai Creta,14.8,bangalore,Others,Drum,SUV,Hyundai,Tubeless,1280000.0
6 Speed,3995.0,1710.0,2012,1505.0,1120.0,4.0,40562,Manual,2012.0,2525.0,1396.0,Hyundai i20,22.54,bangalore,Red,Drum,Hatchback,Hyundai,Tubeless Radial,436000.00000000006
7 Speed,4300.0,1790.0,2021,1635.0,1465.0,4.0,26500,Automatic,2021.0,2610.0,1397.0,Hyundai Creta,19.255853130413264,bangalore,White,Disc,SUV,Hyundai,Tubeless Radial,1675000.0
7 Speed,3995.0,1770.0,2019,1605.0,1440.0,3.0,20000,Automatic,2019.0,2500.0,998.0,Hyundai Venue,18.15,bangalore,Others,Drum,SUV,Hyundai,Radial,1250000.0
6 Speed,4585.0,1890.0,2016,1785.0,2020.0,4.0,58600,Automatic,2016.0,2700.0,2179.0,Mahindra XUV500,16.0,bangalore,Silver,Disc,SUV,Mahindra,Tubeless,1350000.0
7 Speed,4234.0,1819.0,2020,1573.0,1350.0,4.0,42050,Automatic,2020.0,2590.0,1498.0,Volkswagen T-Roc,18.4,bangalore,White,Disc,SUV,Volkswagen,Tubeless Radial,2225000.0
5 Speed,3715.0,1635.0,2015,1565.0,840.0,3.0,65017,Automatic,2016.0,2425.0,998.0,Maruti Celerio,23.1,bangalore,White,Drum,Hatchback,Maruti,Tubeless Radial,475000.0
6 Speed,4531.0,1817.0,2008,1421.0,1445.0,4.0,80000,Automatic,2008.0,2760.0,1995.0,BMW 3 Series,13.2,bangalore,Others,Disc,Sedan,BMW,Tubeless Radial,600000.0
7 Speed,4405.0,1818.0,2021,1640.0,1580.0,4.0,30000,Automatic,2021.0,2636.0,1368.0,Jeep Compass,14.1,bangalore,Others,Disc,SUV,Jeep,Tubeless Radial,2450000.0
7 Speed,4315.0,1800.0,2020,1645.0,1535.0,4.0,20000,Automatic,2020.0,2610.0,1353.0,Kia Seltos,16.5,bangalore,Others,Disc,SUV,Kia,Tubeless Radial,1625000.0
6 Speed,4838.0,1817.0,2014,1482.0,1608.0,4.0,36349,Automatic,2014.0,2761.0,1968.0,Skoda Superb,17.2,bangalore,White,Disc,Sedan,Skoda,Tubeless Radial,1650000.0
5 Speed,3585.0,1595.0,2009,1550.0,960.0,4.0,80000,Manual,2009.0,2380.0,1197.0,Hyundai i10,20.36,bangalore,Others,Drum,Hatchback,Hyundai,Tubeless Radial,249000.00000000003
5 Speed,4315.0,1822.0,2014,1695.0,1100.0,4.0,83394,Manual,2014.0,2673.0,1598.0,Renault Duster,13.24,bangalore,Red,Drum,SUV,Renault,Tubeless Radial,630000.0
7 Speed,4629.0,2089.0,2016,1655.0,1830.0,4.0,30000,Automatic,2016.0,2807.0,1968.0,Audi Q5,14.16,bangalore,Others,Disc,SUV,Audi,Tubeless Radial,2599000.0
5 Speed,3530.0,1490.0,2017,1520.0,755.0,3.0,52204,Manual,2017.0,2380.0,998.0,Maruti Alto K10,24.39,bangalore,Silver,Drum,Hatchback,Maruti,Tubeless Radial,385000.0
5 Speed,3940.0,1710.0,2012,1505.0,1020.0,4.0,110000,Manual,2012.0,2525.0,1197.0,Hyundai i20,17.0,bangalore,Red,Drum,Hatchback,Hyundai,Tubeless Radial,300000.0
